
> sports@0.1.0 start
> next start --hostname 127.0.0.1 --port 3000
[request] d1d36460457f4294 GET /en status=200 geo=INTL session=no
[request] 943cc9a2b2964351 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 2e4f7eeeb7ef48af GET /en/leagues/EPL status=200 geo=INTL session=no
[request] a8c5a82e431a4d8e GET /en/leagues status=200 geo=INTL session=no
[request] a406ce6029c24e7d GET /en status=200 geo=INTL session=no
[request] 83146c24e10141af GET /en status=200 geo=INTL session=no
[request] 1c91d5f5986740b0 GET /en status=200 geo=INTL session=no
[request] 2958b9ee2cfb4b1d GET /en/leagues/BL1 status=200 geo=INTL session=no
[request] 88d07b409e794fbc GET /en/leagues/BL1 status=200 geo=INTL session=no
[request] f6f5f65689d544d4 GET /en/match/bl1-finished-bvb-rbl status=200 geo=INTL session=no
[request] 17aff3ca99ea4bee GET /en/match/bl1-finished-bvb-rbl status=200 geo=INTL session=no
[request] ed0cb8a0f1184d07 GET /en/leagues/LL status=200 geo=INTL session=no
[request] 7504484f356a4d97 GET /en/leagues/LL status=200 geo=INTL session=no
[request] 9ce42ac5ef8d4f4f GET /en/match/ll-upcoming-bar-sev status=200 geo=INTL session=no
[request] 3f4083d1533b40e8 GET /en/match/ll-upcoming-bar-sev status=200 geo=INTL session=no
[request] 63bc8af0030e4343 GET /en/match/epl-live-ars-che status=200 geo=INTL session=no
[request] e5c5e949762c4956 GET /en/match/epl-live-ars-che status=200 geo=INTL session=no
[request] 7afbc6d5bb984e4b GET /en/leagues/SA status=200 geo=INTL session=no
[request] 1ab76392f2dc42e2 GET /en/leagues/SA status=200 geo=INTL session=no
[request] b74f3bbae07c4836 GET /en status=200 geo=INTL session=no
[request] 07eb663a44d24723 GET /en/leagues/SA status=200 geo=INTL session=no
[request] 4a612154fdf2422a GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 95e1c06845564909 GET /en/match/epl-live-ars-che status=200 geo=INTL session=no
[request] 948fddebcd5645db GET /en/leagues/LL status=200 geo=INTL session=no
[request] 6b226320b55641f5 GET /en/match/ll-upcoming-bar-sev status=200 geo=INTL session=no
[request] 967f49613652418e GET /en/leagues/BL1 status=200 geo=INTL session=no
[request] 9a6f49dba3854959 GET /en/match/bl1-finished-bvb-rbl status=200 geo=INTL session=no
[request] 6fc94e53138b423a GET /en/match/sa-upcoming-int-laz status=200 geo=INTL session=no
[request] 024a8bd3161d4b2e GET /en/match/sa-upcoming-int-laz status=200 geo=INTL session=no
[request] f25fa99b3ab14ce2 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 9b3ae2b725dd4922 GET /en/match/ucl-live-rma-bay status=200 geo=INTL session=no
[request] 46ece16b6f374ac6 GET /en/match/ucl-live-rma-bay status=200 geo=INTL session=no
[request] 087d92d2639b4345 GET /en status=200 geo=INTL session=no
[request] d2b11a0b9fbb4dab GET /en status=200 geo=INTL session=no
[request] cef6d05bb01c426c GET /en status=200 geo=INTL session=no
[request] ce58581cee28416e GET /en status=200 geo=INTL session=no
[request] f18eb2c903a54f9b GET /en status=200 geo=INTL session=no
[request] 8b3f539c1ebc4891 GET /en status=200 geo=INTL session=no
[request] 5f6b11b2ac5f454e GET /en/leagues status=200 geo=INTL session=no
[request] f831661b30b44ce1 GET /en status=200 geo=INTL session=no
[request] 02a64244eecf4fcb GET /en status=200 geo=INTL session=no
[request] 11f30aea8236418f GET /en status=200 geo=INTL session=no
[request] 42484875f9454d26 GET /en status=200 geo=INTL session=no
[request] d4d7c0d95e244f93 GET /en/leagues status=200 geo=INTL session=no
[request] 96cc870c3e1c470f GET /en status=200 geo=INTL session=no
[request] 8eae09fe6f97459c GET /en status=200 geo=INTL session=no
[request] 1df9e4ca5b1a45cd GET /en status=200 geo=INTL session=no
[request] 5d6b1280410e4972 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 1aebcddbbb27446a GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 6414a7415b0544c7 GET /en status=200 geo=INTL session=no
[request] 53aafd6c90fc4f80 GET /en status=200 geo=INTL session=no
[request] 3e17f1312e9d497a GET /en status=200 geo=INTL session=no
[request] cd7eb19c2dc5489e GET /en status=200 geo=INTL session=no
[request] c0085c3e2c294c50 GET /en status=200 geo=INTL session=no
[request] 686b391dd4884ea5 GET /en status=200 geo=INTL session=no
[request] 9e743ba8c9cc4d4b GET /en status=200 geo=INTL session=no
[request] 640527b0e3604887 GET /en/leagues status=200 geo=INTL session=no
[request] a79b0073d2564a5b GET /en status=200 geo=INTL session=no
[request] 0b92064d61b84293 GET /en status=200 geo=INTL session=no
